kx,ky,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51
21.0,14.0,0.0,0.99061298,0.0,0.97665399,0.0,0.0,0.78266001,1.63326,1.05145,0.0,1.83302,0.0371981,0.85638797,1.55489,1.51556,0.97658598,0.0,0.99066299,1.00199,0.61741,0.97662401,0.0,0.97660899,0.0,0.97664499,0.0,0.032014601,1.01504,0.0,0.97665799,0.00121942,1.0138201,0.0383812,0.0,0.0,1.55811,0.99066299,1.95331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037198398,1.0458699,0.0,0.037198398,0.0
21.0,15.0,0.0,1.0086401,1.95332,0.0,0.0,0.035082102,0.782727,0.97670299,1.00194,0.14201,0.0,0.0,0.0,1.45049,1.2203701,0.0,0.79014599,0.0,1.62607,0.0,0.97663599,1.00152,0.0,1.11514,0.0,0.0,1.01151,0.0,0.97663099,0.0,0.0,1.8009599,0.0,1.56534,1.00869,1.42869,0.0,0.032015398,0.0,2.32938,0.035077099,0.0,1.59399,0.0,0.97663802,0.97664899,0.032012999,0.0,0.0,0.0,1.00199
21.0,16.0,0.61737901,1.60113,0.97661698,2.0106599,0.61738902,1.0091799,0.0,0.976641,0.0,3.55514,1.0019799,1.9781801,0.0,1.46444,0.0,0.021862401,1.9781801,0.61738902,0.0,0.0,0.0,0.032014798,0.0,1.69424,0.0,1.95327,0.0,0.976677,0.0,0.48778799,0.0,0.80875099,0.97659999,0.0,1.98532,1.03657,1.00862,0.0,0.0,1.82322,0.78265899,0.035078101,1.00916,0.0,0.0,0.0,0.0,0.0,0.0,1.0086401,0.0
21.0,17.0,0.208212,3.3343201,0.0,1.0034699,0.0,0.0,1.2097,0.0,0.0,0.0,0.0,0.070155703,1.06907,1.29638,2.0571699,1.60724,0.976587,0.78264302,0.0,0.0,0.0,0.0,0.0,0.0,1.34131,0.0,0.97666103,2.0643401,0.0,2.30107,0.97665501,1.00195,1.0015301,1.0019799,1.98525,0.42865801,2.9298699,0.976632,0.0,0.0,0.97664601,0.78265101,1.1336,1.0095299,0.78267002,0.0,1.0086401,0.0074783401,0.0,0.208212,0.0
21.0,18.0,1.79366,0.0,0.022240199,2.17676,1.7609299,0.0,0.77206898,1.0086499,0.0,1.07898,0.0,0.97663403,0.032015901,0.0,0.67195803,1.07891,0.0,0.0,0.97671902,0.0,0.0,0.97661799,1.66085,0.0,2.2621801,0.0,1.0949399,0.0,0.032016098,0.0350773,1.76851,2.05565,0.97662401,2.1259301,0.0,1.58953,0.0,0.61742198,0.0,1.6226,0.97661901,1.0086401,0.48809901,0.81469399,0.976659,0.71045297,1.0086499,0.0277336,0.0,0.77210802,0.0
21.0,19.0,0.28707999,1.0454201,0.041790102,0.97665203,0.0,1.59404,0.27795801,0.032016601,1.75936,0.976641,0.0,2.02145,0.0,0.0,0.0,1.9533,0.0,0.0,0.277978,0.0,1.00151,0.0,1.00872,1.66626,0.0,1.00148,0.0,0.0,0.0,1.01947,0.29821101,0.032016098,1.0454201,0.0,0.0,0.0,0.65726697,1.9852999,0.0,0.23897099,0.0,0.0,0.0,0.0,1.03973,0.29821101,2.02266,2.82619,0.0,0.976623,0.0
21.0,20.0,0.72149599,0.0,0.0,0.0,1.76469,0.97662801,0.698623,2.0592,0.0,0.032014798,0.0,0.0,0.97662503,0.0,0.0,2.5074999,0.97663802,0.0,3.7594299,1.0371799,0.0,2.0039599,0.97667903,1.02441,0.0,0.97666198,1.75938,1.63587,0.0,1.02574,0.0,0.79593098,0.0,0.0,0.97666699,0.0,0.0,0.976614,1.9699301,0.97668099,0.0,1.02574,0.0,0.038285699,1.96978,0.0,0.0,0.0,0.0,0.0,0.0
21.0,21.0,0.97665602,0.0,0.0,0.0,0.22841699,0.652493,0.0,1.95327,0.0,0.78267699,0.97664303,0.032013401,1.0758899,0.0,0.34772101,2.18167,0.0,0.0,0.98330897,0.97665399,0.035317499,0.0,1.07586,0.0,0.65245599,2.0106599,0.0,0.0,0.0,0.0,1.01289,1.0086499,1.89385,0.0,0.0,0.0,2.01369,2.0525899,0.0,0.0,0.0,0.97663999,0.0320182,0.0,0.27866399,1.03361,0.97666299,0.0,0.0,0.0,2.11219
21.0,22.0,0.0,0.036151201,0.0,1.02946,0.61739898,0.97662097,0.0,0.0,0.97661501,0.0,0.0,0.97662503,0.0,0.0,0.62893897,0.0,2.02934,1.65696,0.0,1.05267,0.0,1.0639499,0.976596,0.817747,1.0416501,0.0,1.00149,0.0,0.97664303,0.0,0.0206165,0.0,1.03352,1.68058,0.0,0.0,0.0,0.0,0.0,0.032015398,0.0,1.0019799,0.0,0.036975902,0.50399399,0.0,0.0,1.00657,0.0,1.62392,1.90054
21.0,23.0,0.0,2.0564599,0.0,0.0,0.0,0.97665602,1.00614,1.05308,2.0204,0.97658902,0.0,2.0148101,0.0,0.97663099,0.0,0.63603503,0.41745499,0.97663498,0.428083,0.0,1.05304,0.97666699,1.97817,0.0,1.95329,0.0,0.0,0.428312,0.032014899,0.976659,0.0,0.80630702,0.037823498,0.97659999,0.97663599,0.0,2.00299,0.0,0.0,0.0,0.0,0.78267002,1.03912,0.97666901,0.0,0.26389301,0.032014899,0.97666401,0.0,0.97666401,0.15868101
